lat,lon,Empresa,Compañía,,Comuna,Región,Tipo Documento,Nro. Documento,Fecha Documento
-20.34722222,-70.10666667,CLARO CHILE S.A.,Claro,,Iquique,I,DECRETO NOTIFICADO,144,14/04/1997
-33.52138889,-70.75611111,CLARO CHILE S.A.,Claro,,Maipú,RM,DECRETO NOTIFICADO,144,14/04/1997
-41.75833333,-73.125,CLARO CHILE S.A.,Claro,,Calbuco,X,DECRETO NOTIFICADO,144,14/04/1997
-33.43083333,-70.83416667,CLARO CHILE S.A.,Claro,,Pudahuel,RM,DECRETO NOTIFICADO,144,14/04/1997
-33.45194444,-70.59777778,CLARO CHILE S.A.,Claro,,Ñuñoa,RM,DECRETO NOTIFICADO,144,14/04/1997
-33.39,-70.62138889,CLARO CHILE S.A.,Claro,,Huechuraba,RM,DECRETO NOTIFICADO,144,14/04/1997
-33.04527778,-71.55944444,CLARO CHILE S.A.,Claro,,Viña del Mar,V,DECRETO NOTIFICADO,144,14/04/1997
-39.81027778,-73.24333333,CLARO CHILE S.A.,Claro,,Valdivia,XIV,DECRETO NOTIFICADO,144,14/04/1997
-34.42111111,-71.16527778,CLARO CHILE S.A.,Claro,,San Vicente,VI,DECRETO NOTIFICADO,144,14/04/1997
-40.57055556,-73.13416667,CLARO CHILE S.A.,Claro,,Osorno,X,DECRETO NOTIFICADO,144,14/04/1997
-32.74722222,-70.72138889,CLARO CHILE S.A.,Claro,,San Felipe,V,DECRETO NOTIFICADO,144,14/04/1997
-35.42416667,-71.66111111,CLARO CHILE S.A.,Claro,,Talca,VII,DECRETO NOTIFICADO,144,14/04/1997
-38.72361111,-72.56222222,CLARO CHILE S.A.,Claro,,Temuco,IX,DECRETO NOTIFICADO,144,14/04/1997
-42.47361111,-73.76055556,CLARO CHILE S.A.,Claro,,Castro,X,DECRETO NOTIFICADO,144,14/04/1997
-35.45833333,-71.54166667,CLARO CHILE S.A.,Claro,,Talca,VII,DECRETO NOTIFICADO,144,14/04/1997
-32.83472222,-70.98333333,CLARO CHILE S.A.,Claro,,Quillota,V,DECRETO NOTIFICADO,144,14/04/1997
-33.53166667,-70.66138889,CLARO CHILE S.A.,Claro,,La Cisterna,RM,DECRETO NOTIFICADO,144,14/04/1997
-36.80833333,-72.3175,CLARO CHILE S.A.,Claro,,Bulnes,VIII,DECRETO NOTIFICADO,144,14/04/1997
